ciudad;provincia
Alto Rio Senguer;CHUBUT
Bahia Bustamante;CHUBUT
Camarones;CHUBUT
Cholila;CHUBUT
Comodoro Rivadavia;CHUBUT
Corcovado;CHUBUT
El Hoyo;CHUBUT
El Maiten;CHUBUT
Epuyen;CHUBUT
Esquel;CHUBUT
Gaiman;CHUBUT
Gobernador Costa;CHUBUT
Jose de San Martin;CHUBUT
Lago Puelo;CHUBUT
Playa Union;CHUBUT
Puerto Madryn;CHUBUT
Puerto Piramides;CHUBUT
Rawson;CHUBUT
Rada Tilly;CHUBUT
Rio Mayo;CHUBUT
Rio Pico;CHUBUT
Sarmiento;CHUBUT
Trelew;CHUBUT
Trevelin;CHUBUT
Villa Ameghino;CHUBUT
Villa Futalaufquen;CHUBUT
Alumine;NEUQUEN
Andacollo;NEUQUEN
Arroyito;NEUQUEN
Caviahue;NEUQUEN
Centenario;NEUQUEN
Chos Malal;NEUQUEN
Copahue;NEUQUEN
Cutral Co;NEUQUEN
El Cholar;NEUQUEN
El Huecu;NEUQUEN
Huinganco;NEUQUEN
Junin de los Andes;NEUQUEN
Las Lajas;NEUQUEN
Las Ovejas;NEUQUEN
Loncopue;NEUQUEN
Manzano Amargo;NEUQUEN
Moquehue;NEUQUEN
Neuquen Capital;NEUQUEN
Picun Leufu;NEUQUEN
Piedra del Aguila;NEUQUEN
Plaza Huincul;NEUQUEN
Plottier;NEUQUEN
Primeros Pinos;NEUQUEN
Pulmari;NEUQUEN
Rincon de los Sauces;NEUQUEN
San Martin de los Andes;NEUQUEN
Tricao Malal;NEUQUEN
Varvarco;NEUQUEN
Villa El Chocon;NEUQUEN
Villa La Angostura;NEUQUEN
Villa Lago Meliquina;NEUQUEN
Villa Pehuenia;NEUQUEN
Villa Traful;NEUQUEN
Zapala;NEUQUEN
Allen;RIO NEGRO
Bariloche;RIO NEGRO
Catriel;RIO NEGRO
Choele Choel;RIO NEGRO
Cinco Saltos;RIO NEGRO
Cipolletti;RIO NEGRO
Dina Huapi;RIO NEGRO
El Bolson;RIO NEGRO
El Manso;RIO NEGRO
General Conesa;RIO NEGRO
General Roca;RIO NEGRO
Ingeniero Jacobacci;RIO NEGRO
Las Grutas;RIO NEGRO
Los Menucos;RIO NEGRO
Ministro Ramos Mexia;RIO NEGRO
Playas Doradas;RIO NEGRO
Rio Colorado;RIO NEGRO
San Antonio Este;RIO NEGRO
San Antonio Oeste;RIO NEGRO
Sierra Colorada;RIO NEGRO
Sierra Grande;RIO NEGRO
Valcheta;RIO NEGRO
Viedma;RIO NEGRO
Villa El Condor;RIO NEGRO
Villa Lago Gutierrez;RIO NEGRO
Villa Lago Mascardi;RIO NEGRO
Villa Regina;RIO NEGRO
Rio Grande;TIERRA DEL FUEGO
Tolhuin;TIERRA DEL FUEGO
Ushuaia;TIERRA DEL FUEGO
